"","mean","std","mode","std/mean","max","min","attack","file"
"660",96.04,0.541294744108977,96.2,0.00563613852674904,96.5,95.1,0,"bis_limpio_21-06.csv"
"661",95.18,0.268328157299971,94.9,0.00281916534250863,95.5,94.9,0,"bis_limpio_21-06.csv"
"662",94.62,0.192353840616714,94.9,0.00203290890527071,94.9,94.4,0,"bis_limpio_21-06.csv"
"663",93.76,0.433589667773578,93.8,0.00462446318017894,94.3,93.1,0,"bis_limpio_21-06.csv"
"664",95.1,0.291547594742264,95.2,0.00306569500254747,95.5,94.7,0,"bis_limpio_21-06.csv"
"665",96.02,0.258843582110895,95.7,0.00269572570413346,96.3,95.7,0,"bis_limpio_21-06.csv"
"666",96.96,0.114017542509912,97,0.00117592349948342,97.1,96.8,0,"bis_limpio_21-06.csv"
"667",96.26,0.288097205817756,96.5,0.002992906771429,96.6,95.9,0,"bis_limpio_21-06.csv"
"668",96.04,0.313049516849965,95.9,0.00325957431122413,96.6,95.9,0,"bis_limpio_21-06.csv"
"669",96.12,0.389871773792358,96.3,0.00405609419259632,96.5,95.5,0,"bis_limpio_21-06.csv"
"670",95.54,0.433589667773576,95.3,0.00453830508450467,96.3,95.3,0,"bis_limpio_21-06.csv"
"671",96.14,0.207364413533278,96,0.00215690049441728,96.5,96,0,"bis_limpio_21-06.csv"
"672",96.02,0.178885438199985,96.2,0.0018630018558632,96.2,95.8,0,"bis_limpio_21-06.csv"
"673",95.44,0.279284800875381,95.7,0.00292628668142688,95.7,95.1,0,"bis_limpio_21-06.csv"
"674",95.32,0.672309452558862,95.8,0.00705318351404597,95.8,94.4,0,"bis_limpio_21-06.csv"
"675",93.6,0.640312423743284,93.3,0.00684094469811201,94.5,92.9,0,"bis_limpio_21-06.csv"
"676",92.8,0.45276925690687,92.3,0.00487897906149645,93.3,92.3,0,"bis_limpio_21-06.csv"
"677",92.16,0.634822809924157,92.9,0.00688826833685066,92.9,91.6,0,"bis_limpio_21-06.csv"
"678",90.66,0.219089023002067,90.8,0.00241660073904772,90.8,90.3,0,"bis_limpio_21-06.csv"
"679",92.2,0.187082869338696,92.2,0.00202909836592946,92.4,91.9,0,"bis_limpio_21-06.csv"
"680",93.78,0.712039324756718,92.6,0.00759265648066451,94.5,92.6,0,"bis_limpio_21-06.csv"
"681",96.14,0.53665631459995,96.5,0.00558202948408519,96.5,95.3,0,"bis_limpio_21-06.csv"
"682",96.5,0,96.5,0,96.5,96.5,0,"bis_limpio_21-06.csv"
"683",96.9,0.223606797749979,97,0.00230760369195025,97,96.5,0,"bis_limpio_21-06.csv"
"684",97.08,0.0447213595499933,97.1,0.000460665013905987,97.1,97,0,"bis_limpio_21-06.csv"
"685",97.06,0.0547722557505135,97.1,0.000564313370600798,97.1,97,0,"bis_limpio_21-06.csv"
"686",96.74,0.250998007960223,97,0.00259456282778812,97,96.5,0,"bis_limpio_21-06.csv"
"687",96.76,0.181659021245849,96.8,0.00187741857426466,97,96.5,0,"bis_limpio_21-06.csv"
"688",97.1,0,97.1,0,97.1,97.1,0,"bis_limpio_21-06.csv"
"689",97,0.122474487139158,97,0.0012626235787542,97.1,96.8,0,"bis_limpio_21-06.csv"
"690",96.62,0.164316767251548,96.5,0.00170064963000981,96.8,96.5,0,"bis_limpio_21-06.csv"
"691",96.26,0.709224929059885,96.8,0.00736780520527618,96.9,95.2,0,"bis_limpio_21-06.csv"
"692",93.72,0.609918027279074,94.5,0.00650787481091628,94.5,92.9,0,"bis_limpio_21-06.csv"
"693",95.34,0.433589667773576,95.6,0.00454782533851034,95.6,94.6,0,"bis_limpio_21-06.csv"
"694",95.9,0.273861278752583,96.1,0.00285569633735749,96.1,95.6,0,"bis_limpio_21-06.csv"
"695",96.1,0,96.1,0,96.1,96.1,0,"bis_limpio_21-06.csv"
"696",93.68,2.29826021155134,94.9,0.024533093633127,95.2,89.7,1,"bis_limpio_21-06.csv"
"697",88.72,1.36455120827326,89.7,0.0153804238984812,89.7,86.9,1,"bis_limpio_21-06.csv"
"698",85.38,1.72539850469392,86.9,0.020208462224103,86.9,82.9,1,"bis_limpio_21-06.csv"
"699",84.38,0.801249024960403,84.6,0.00949572203081776,85.1,83,1,"bis_limpio_21-06.csv"
"700",87.18,3.99774936683129,83,0.0458562671120818,91.9,83,1,"bis_limpio_21-06.csv"
"701",94.52,1.90184121314057,91.4,0.0201210454204462,96,91.4,1,"bis_limpio_21-06.csv"
"702",95.82,0.486826457785526,96.3,0.00508063512612739,96.3,95.1,1,"bis_limpio_21-06.csv"
"703",93.92,0.109544511501031,93.9,0.00116635979025799,94.1,93.8,1,"bis_limpio_21-06.csv"
"704",93.94,0.0894427190999865,93.9,0.000952126028315803,94.1,93.9,1,"bis_limpio_21-06.csv"
"705",94.3,0,94.3,0,94.3,94.3,1,"bis_limpio_21-06.csv"
"706",94.88,0.164316767251553,94.9,0.001731837766142,95,94.6,1,"bis_limpio_21-06.csv"
"707",95,0,95,0,95,95,1,"bis_limpio_21-06.csv"
"708",94.84,0.270185121722126,95,0.00284885197935603,95.1,94.5,1,"bis_limpio_21-06.csv"
"709",95.08,0.349284983931458,95.3,0.0036735904914962,95.3,94.5,1,"bis_limpio_21-06.csv"
"710",95.64,0.296647939483825,95.3,0.00310171413094757,96.1,95.3,1,"bis_limpio_21-06.csv"
"711",95.64,0.0894427190999929,95.6,0.000935201998117868,95.8,95.6,1,"bis_limpio_21-06.csv"
"712",94.68,0.605805249234437,94.3,0.00639845003416177,95.6,94.2,1,"bis_limpio_21-06.csv"
"713",94.08,0.178885438199986,94,0.00190141834821413,94.4,94,1,"bis_limpio_21-06.csv"
"714",94,0,94,0,94,94,1,"bis_limpio_21-06.csv"
"715",92.54,0.986407623652615,94.1,0.0106592567933068,94.1,91.6,1,"bis_limpio_21-06.csv"
"716",90.24,0.920869154657706,90.6,0.0102046670507281,91.4,89.2,1,"bis_limpio_21-06.csv"
"717",88.78,0.443846820423446,89.2,0.00499940099598385,89.2,88.1,1,"bis_limpio_21-06.csv"
"718",88.22,0.311448230047945,87.9,0.00353035853602295,88.6,87.9,1,"bis_limpio_21-06.csv"
"719",87.8,0.479583152331269,88.1,0.0054622226917001,88.1,87,2,"bis_limpio_21-06.csv"
"720",86,0.424264068711925,86.1,0.00493330312455727,86.6,85.5,2,"bis_limpio_21-06.csv"
"721",86.84,0.702139587261678,86.1,0.0080854397427646,87.6,86.1,2,"bis_limpio_21-06.csv"
"722",89.06,0.618869937870629,88.9,0.00694891014900774,89.8,88.2,2,"bis_limpio_21-06.csv"
"723",91.52,0.965401470891774,90.1,0.010548530057821,92.6,90.1,2,"bis_limpio_21-06.csv"
